Rank,Title,Sales (millions),Series,Platform(s),Release year,Developer(s),Publisher(s)
1,Tetris,520.0,,Multi-platform,1988,Various,Various
1,Minecraft,350.0,Minecraft,Multi-platform,2011,Mojang Studios,Mojang Studios
2,Grand Theft Auto V,225.0,Grand Theft Auto,Multi-platform,2013,Rockstar North,Rockstar Games
3,Wii Sports,82.9,Wii,Wii,2006,Nintendo EAD,Nintendo
4,Red Dead Redemption 2,82.0,Red Dead,Multi-platform,2018,Rockstar Games,Rockstar Games
5,Mario Kart 8 / Deluxe,79.05,Mario Kart,Wii U / Switch,2014,Nintendo EAD / Nintendo EPD (Deluxe),Nintendo
6,PUBG: Battlegrounds,75.0,PUBG Universe,Multi-platform,2017,PUBG Studios,Krafton
7,Terraria,64.0,,Multi-platform,2011,Re-Logic,Re-Logic / 505 Games
8,The Witcher 3: Wild Hunt,60.0,The Witcher,Multi-platform,2015,CD Projekt Red,CD Projekt
9,Super Mario Bros.,58.0,Super Mario,Multi-platform,1985,Nintendo R&D4,Nintendo
10,Human: Fall Flat,55.0,,Multi-platform,2016,No Brakes Games,Curve Digital
11,Overwatch,50.0,Overwatch,Multi-platform,2016,Blizzard Entertainment,Blizzard Entertainment
11,The Sims,50.0,The Sims,Multi-platform,2000,Maxis,Electronic Arts
11,Stardew Valley,50.0,,Multi-platform,2016,ConcernedApe,Chucklefish / ConcernedApe
14,Animal Crossing: New Horizons,49.32,Animal Crossing,Nintendo Switch,2020,Nintendo EPD,Nintendo
15,Pokémon Red / Blue / Yellow,47.44,Pokémon,Multi-platform,1996,Game Freak,Nintendo
16,Wii Fit / Plus,43.8,Wii,Wii,2007,Nintendo EAD,Nintendo
17,Call of Duty: Black Ops III,43.0,Call of Duty,Multi-platform,2015,Treyarch,Activision
18,Call of Duty: Modern Warfare,41.0,Call of Duty,Multi-platform,2019,Infinity Ward,Activision
19,Hogwarts Legacy,40.0,Wizarding World,Multi-platform,2023,Avalanche Software,Warner Bros. Games
19,Payday 2,40.0,Payday,Multi-platform,2013,Overkill Software,505 Games
19,Sonic the Hedgehog,40.0,Sonic the Hedgehog,Multi-platform,1991,Sonic Team,Sega
22,Super Smash Bros. Ultimate,37.44,Super Smash Bros.,Nintendo Switch,2018,Bandai Namco Studios / Sora Ltd.,Nintendo
23,Mario Kart Wii,37.38,Mario Kart,Wii,2008,Nintendo EAD,Nintendo
24,The Legend of Zelda: Breath of the Wild,35.34,The Legend of Zelda,Multi-platform,2017,Nintendo EPD,Nintendo
25,Cyberpunk 2077,35.0,Cyberpunk,Multi-platform,2020,CD Projekt Red,CD Projekt
26,Wii Sports Resort,33.14,Wii,Wii,2009,Nintendo EAD,Nintendo
27,New Super Mario Bros.,30.8,Super Mario,Nintendo DS,2006,Nintendo EAD,Nintendo
28,New Super Mario Bros. Wii,30.32,Super Mario,Wii,2009,Nintendo EAD,Nintendo
29,Super Mario Odyssey,30.27,Super Mario,Nintendo Switch,2017,Nintendo EPD,Nintendo
30,Pokémon Gold / Silver / Crystal,30.12,Pokémon,Game Boy Color,1999,Game Freak,Nintendo
31,Elden Ring,30.0,Elden Ring,Multi-platform,2022,FromSoftware,Bandai Namco
31,Borderlands 2,30.0,Borderlands,Multi-platform,2012,Gearbox Software,2K Games
31,Call of Duty: Black Ops Cold War,30.0,Call of Duty,Multi-platform,2020,Treyarch / Raven Software,Activision
31,The Elder Scrolls V: Skyrim,30.0,The Elder Scrolls,Multi-platform,2011,Bethesda Game Studios,Bethesda Softworks
35,Monster Hunter: World,29.1,Monster Hunter,Multi-platform,2018,Capcom,Capcom
36,Duck Hunt,28.3,,Famicom / NES,1984,Nintendo R&D1,Nintendo
37,Pokémon Scarlet / Violet,28.08,Pokémon,Nintendo Switch,2022,Game Freak,Nintendo / The Pokémon Company
38,Wii Play,28.02,Wii,Wii,2006,Nintendo EAD,Nintendo
39,Black Myth: Wukong,28.0,Black Myth,Multi-platform,2024,Game Science,Game Science
40,Grand Theft Auto: San Andreas,27.5,Grand Theft Auto,Multi-platform,2004,Rockstar North,Rockstar Games
41,Pokémon Sword / Shield,27.08,Pokémon,Nintendo Switch,2019,Game Freak,Nintendo / The Pokémon Company
42,It Takes Two,27.0,,Multi-platform,2021,Hazelight Studios,Electronic Arts
43,The Last of Us / Remastered,26.6,The Last of Us,PS3 / PS4,2013,Naughty Dog,Sony Computer Entertainment
44,Call of Duty: Modern Warfare 3,26.5,Call of Duty,Multi-platform,2011,Infinity Ward / Sledgehammer,Activision
45,Call of Duty: Black Ops,26.2,Call of Duty,Multi-platform,2010,Treyarch,Activision
46,Marvel's Spider-Man / Remastered,26.1,Marvel's Spider-Man,Multi-Platform,2018,Insomniac Games,Sony Interactive Entertainment
47,Pokémon Sun / Moon / Ultra Sun / Ultra Moon,25.59,Pokémon,Nintendo 3DS,2016,Game Freak,Nintendo / The Pokémon Company
48,Garry's Mod,25.56,,PC,2006,Facepunch Studios,Valve
49,Pokémon Diamond / Pearl / Platinum,25.5,Pokémon,Nintendo DS,2006,Game Freak,Nintendo / The Pokémon Company
50,Phasmophobia,25.0,,Multi-platform,2024,Kinetic Games,Kinetic Games
50,Grand Theft Auto IV,25.0,Grand Theft Auto,Multi-platform,2008,Rockstar North,Rockstar Games
